name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,user_score,developer,rating,sales_category,game_age,game_age_category
Wii Sports,Wii,2006,Sports,nintendo,41.36,28.96,3.77,8.45,82.53,8.0,Nintendo,E,best_seller,20,old
Super Mario Bros.,NES,1985,Platform,nintendo,29.08,3.58,6.81,0.77,40.24,7.5,unknown,E,medium,41,old
Mario Kart Wii,Wii,2008,Racing,nintendo,15.68,12.76,3.79,3.29,35.52,8.3,Nintendo,E,medium,18,old
Wii Sports Resort,Wii,2009,Sports,nintendo,15.61,10.93,3.28,2.95,32.77,8.0,Nintendo,E,medium,17,old
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,nintendo,11.27,8.89,10.22,1.00,31.37,7.5,unknown,E,medium,30,old
Tetris,GB,1989,Puzzle,nintendo,23.20,2.26,4.22,0.58,30.26,7.5,unknown,E,medium,37,old
New Super Mario Bros.,DS,2006,Platform,nintendo,11.28,9.14,6.50,2.88,29.8,8.5,Nintendo,E,medium,20,old
Wii Play,Wii,2006,Misc,nintendo,13.96,9.18,2.93,2.84,28.92,6.6,Nintendo,E,medium,20,old
New Super Mario Bros. Wii,Wii,2009,Platform,nintendo,14.44,6.94,4.70,2.24,28.32,8.4,Nintendo,E,medium,17,old
Duck Hunt,NES,1984,Shooter,nintendo,26.93,0.63,0.28,0.47,28.31,7.5,unknown,E,medium,42,old
Nintendogs,DS,2005,Simulation,nintendo,9.05,10.95,1.93,2.74,24.67,7.5,unknown,E,low,21,old
Mario Kart DS,DS,2005,Racing,nintendo,9.71,7.47,4.13,1.90,23.21,8.6,Nintendo,E,low,21,old
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,nintendo,9.00,6.18,7.20,0.71,23.1,7.5,unknown,E,low,27,old
Wii Fit,Wii,2007,Sports,nintendo,8.92,8.03,3.60,2.15,22.7,7.7,Nintendo,E,low,19,old
Kinect Adventures!,X360,2010,Misc,microsoft game studios,15.00,4.89,0.24,1.69,21.81,6.3,Good Science Studio,E,low,16,old
Wii Fit Plus,Wii,2009,Sports,nintendo,9.01,8.49,2.53,1.77,21.79,7.4,Nintendo,E,low,17,old
Grand Theft Auto V,PS3,2013,Action,take two interactive,7.02,9.09,0.98,3.96,21.04,8.2,Rockstar North,M,low,13,recent
Grand Theft Auto: San Andreas,PS2,2004,Action,take two interactive,9.43,0.40,0.41,10.57,20.81,9.0,Rockstar North,M,low,22,old
Super Mario World,SNES,1990,Platform,nintendo,12.78,3.75,3.54,0.55,20.61,7.5,unknown,E,low,36,old
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,nintendo,4.74,9.20,4.16,2.04,20.15,7.9,Nintendo,E,low,21,old
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,nintendo,6.38,4.46,6.04,1.36,18.25,7.5,unknown,E,low,20,old
Super Mario Land,GB,1989,Platform,nintendo,10.83,2.71,4.18,0.42,18.14,7.5,unknown,E,low,37,old
